occurrences,volume,close,tweets,date,hour
1596.0,90768684.0,30.5654,0.0,2020-12-01,9
1364.0,74182388.0,30.105400000000003,0.0,2020-12-01,10
1293.0,66159032.0,29.7524,0.0,2020-12-01,11
1224.0,62802960.0,29.3574,0.0,2020-12-01,12
1197.0,58665848.0,28.9825,0.0,2020-12-01,14
1058.0,52287844.0,28.6287,0.0,2020-12-01,15
949.0,45472452.0,28.439300000000003,660.0,2020-12-01,16
927.0,44467360.0,28.322200000000002,786.0,2020-12-02,9
741.0,37837152.0,28.247200000000003,892.0,2020-12-02,10
656.0,34648620.0,28.174599999999998,1032.0,2020-12-02,11
609.0,32875888.0,28.0596,1133.0,2020-12-02,12
576.0,32501396.0,28.037599999999998,1263.0,2020-12-02,14
556.0,32509804.0,28.1264,1325.0,2020-12-02,15
591.0,30424052.0,28.3214,1445.0,2020-12-02,16
535.0,25196012.0,28.328899999999997,1478.0,2020-12-03,9
523.0,22797232.0,28.3664,1525.0,2020-12-03,10
531.0,23618480.0,28.3702,1520.0,2020-12-03,11
525.0,24017424.0,28.372700000000002,1585.0,2020-12-03,12
544.0,23803468.0,28.3701,1632.0,2020-12-03,14
509.0,22768404.0,28.2801,1710.0,2020-12-03,15
423.0,24752060.0,28.162599999999998,1693.0,2020-12-03,16
509.0,28907796.0,28.317600000000002,1543.0,2020-12-04,9
536.0,32306180.0,28.4726,1387.0,2020-12-04,10
542.0,34094264.0,28.7331,1265.0,2020-12-04,11
563.0,35393008.0,29.0456,1094.0,2020-12-04,12
568.0,36018324.0,29.3001,879.0,2020-12-04,14
590.0,36738244.0,29.5013,682.0,2020-12-04,15
610.0,33992476.0,29.6988,575.0,2020-12-04,16
533.0,31651256.0,29.6538,563.0,2020-12-07,9
531.0,31182196.0,29.5238,541.0,2020-12-07,10
526.0,31156120.0,29.3963,553.0,2020-12-07,11
509.0,29152844.0,29.2613,543.0,2020-12-07,12
480.0,28267368.0,29.111800000000002,556.0,2020-12-07,14
476.0,27414304.0,29.0343,590.0,2020-12-07,15
483.0,28461168.0,28.8868,581.0,2020-12-07,16
467.0,27960636.0,28.7243,570.0,2020-12-08,9
455.0,25751132.0,28.7443,570.0,2020-12-08,10
435.0,23550612.0,28.6343,538.0,2020-12-08,11
