portfolio,date
350.0,2020-11-01
350.0,2020-11-02
350.0,2020-11-03
350.0,2020-11-04
350.0,2020-11-05
350.0,2020-11-06
350.0,2020-11-07
350.0,2020-11-08
455.0,2020-11-09
455.0,2020-11-10
4932.0,2020-11-11
1353311.0,2020-11-12
1353311.0,2020-11-13
1353311.0,2020-11-14
1353311.0,2020-11-15
1353311.0,2020-11-16
1353311.0,2020-11-17
1353583.0,2020-11-18
1579883.0,2020-11-19
1579883.0,2020-11-20
1579883.0,2020-11-21
1580143.0,2020-11-22
1580143.0,2020-11-23
5558343.0,2020-11-24
6335406.0,2020-11-25
6335406.0,2020-11-26
6348675.0,2020-11-27
6457360.0,2020-11-28
6662273.0,2020-11-29
9464504.0,2020-11-30
9471980.0,2020-12-01
9516018.0,2020-12-02
9516018.0,2020-12-03
9584118.0,2020-12-04
9584118.0,2020-12-05
9590193.0,2020-12-06
9590193.0,2020-12-07
9456314.0,2020-12-08
8836844.0,2020-12-09
8848373.0,2020-12-10
8874763.0,2020-12-11
8874763.0,2020-12-12
8874763.0,2020-12-13
8870256.0,2020-12-14
8877156.0,2020-12-15
8877156.0,2020-12-16
8999201.0,2020-12-17
8653328.0,2020-12-18
8653328.0,2020-12-19
8653878.0,2020-12-20
8689878.0,2020-12-21
11503543.0,2020-12-22
11913124.0,2020-12-23
11924704.0,2020-12-24
11931915.0,2020-12-25
11936813.0,2020-12-26
11971233.0,2020-12-27
12255064.0,2020-12-28
12255614.0,2020-12-29
12316721.0,2020-12-30
11790455.0,2020-12-31
11790455.0,2021-01-01
11790625.0,2021-01-02
11790625.0,2021-01-03
11811869.0,2021-01-04
11440140.0,2021-01-05
11440903.0,2021-01-06
11461516.0,2021-01-07
11461793.0,2021-01-08
11521893.0,2021-01-09
11523645.0,2021-01-10
11850685.0,2021-01-11
12871150.0,2021-01-12
21147761.0,2021-01-13
23884339.0,2021-01-14
27545953.0,2021-01-15
27704244.0,2021-01-16
27717106.0,2021-01-17
27911812.0,2021-01-18
29052183.0,2021-01-19
29090230.0,2021-01-20
29790723.0,2021-01-21
65442697.0,2021-01-22
67057386.0,2021-01-23
79700120.0,2021-01-24
106717622.0,2021-01-25
107366101.0,2021-01-26
138632908.0,2021-01-27
187390880.0,2021-01-28
276091796.0,2021-01-29
296019866.0,2021-01-30
331155891.0,2021-01-31
352874439.0,2021-02-01
361225275.0,2021-02-02
375627830.0,2021-02-03
