market_cap,share_class_shares_outstanding,weighted_shares_outstanding,date
1126174019.75,65160000,76350781,2020-11-25
1126174019.75,65160000,76350781,2020-11-26
1227720558.4799998,65160000,76350781,2020-11-27
1227720558.4799998,65160000,76350781,2020-11-28
1227720558.4799998,65160000,76350781,2020-11-29
1264368933.36,65160000,76350781,2020-11-30
1206342339.8,65160000,76350781,2020-12-01
1265895948.9799998,65160000,76350781,2020-12-02
1230774589.72,65160000,76350781,2020-12-03
1290328198.8999999,65160000,76350781,2020-12-04
1290328198.8999999,65160000,76350781,2020-12-05
1290328198.8999999,65160000,76350781,2020-12-06
1248335269.3500001,65160000,76350781,2020-12-07
1293382230.14,65160000,76350781,2020-12-08
1042951668.46,65160000,76350781,2020-12-09
1078073027.72,69750000,76350781,2020-12-10
1016228895.11,69750000,76350781,2020-12-11
1016228895.11,69750000,76350781,2020-12-12
1016228895.11,69750000,76350781,2020-12-13
971181934.32,69750000,76350781,2020-12-14
1057458316.85,69750000,76350781,2020-12-15
1057458316.85,69750000,76350781,2020-12-16
1132282082.23,69750000,76350781,2020-12-17
1193362707.03,69750000,76350781,2020-12-18
1193362707.03,69750000,76350781,2020-12-19
1193362707.03,69750000,76350781,2020-12-20
1185727628.93,69750000,76350781,2020-12-21
1485786198.26,69750000,76350781,2020-12-22
1570535565.17,69750000,76350781,2020-12-23
1538468237.1499999,69750000,76350781,2020-12-24
1538468237.1499999,69750000,76350781,2020-12-25
1538468237.1499999,69750000,76350781,2020-12-26
1538468237.1499999,69750000,76350781,2020-12-27
1602602893.1899998,69750000,76350781,2020-12-28
1479678135.78,69750000,76350781,2020-12-29
1470516042.0600002,69750000,76350781,2020-12-30
1438448714.04,69750000,76350781,2020-12-31
1438448714.04,69750000,76350781,2021-01-01
1438448714.04,69750000,76350781,2021-01-02
1438448714.04,69750000,76350781,2021-01-03
1317050972.25,69750000,76350781,2021-01-04
1326213065.97,69750000,76350781,2021-01-05
1401800339.1599998,69750000,76350781,2021-01-06
1380422120.4799998,69750000,76350781,2021-01-07
1350645315.89,69750000,76350781,2021-01-08
1350645315.89,69750000,76350781,2021-01-09
1350645315.89,69750000,76350781,2021-01-10
1522434573.14,69750000,76350781,2021-01-11
1523198080.95,69750000,76350781,2021-01-12
2397414523.4,69750000,76350781,2021-01-13
3047159669.7099996,69750000,76350781,2021-01-14
2710452725.5,69750000,76350781,2021-01-15
2710452725.5,69750000,76350781,2021-01-16
2710452725.5,69750000,76350781,2021-01-17
2710452725.5,69750000,76350781,2021-01-18
3005166740.16,69750000,76350781,2021-01-19
2986842552.72,69750000,76350781,2021-01-20
3285374106.4300003,69750000,76350781,2021-01-21
4963564272.81,69750000,76350781,2021-01-22
4963564272.81,69750000,76350781,2021-01-23
4963564272.81,69750000,76350781,2021-01-24
5862976472.990001,69750000,76350781,2021-01-25
11298388572.38,69750000,76350781,2021-01-26
26532659905.309998,69750000,76350781,2021-01-27
14781511201.6,69750000,76350781,2021-01-28
24814003825.0,69750000,76350781,2021-01-29
24814003825.0,69750000,76350781,2021-01-30
24814003825.0,69750000,76350781,2021-01-31
17178925725.0,69750000,76350781,2021-02-01
6871570290.0,69750000,76350781,2021-02-02
7055575672.21,69750000,76350781,2021-02-03
4084766783.5,69750000,76350781,2021-02-04
4868889304.37,69750000,76350781,2021-02-05
4868889304.37,69750000,76350781,2021-02-06
4868889304.37,69750000,76350781,2021-02-07
4581046860.0,69750000,76350781,2021-02-08
3841207792.11,69750000,76350781,2021-02-09
3909159987.2000003,69750000,76350781,2021-02-10
3901524909.1,69750000,76350781,2021-02-11
4000780924.4,69750000,76350781,2021-02-12
