date,Symbol,value
2020-12-16,GME,367
2020-12-16,AMC,43
2020-12-16,BB,97
2020-12-16,NOK,2
2020-12-16,NIO,384
2020-12-16,TSLA,834
2020-12-16,PLTR,1317
2020-12-17,PLTR,1353
2020-12-17,TSLA,1111
2020-12-17,NOK,16
2020-12-17,NIO,456
2020-12-17,AMC,61
2020-12-17,GME,587
2020-12-17,BB,434
2020-12-18,GME,858
2020-12-18,AMC,19
2020-12-18,BB,310
2020-12-18,NOK,4
2020-12-18,NIO,352
2020-12-18,TSLA,2680
2020-12-18,PLTR,1512
2020-12-19,TSLA,488
2020-12-19,PLTR,408
2020-12-19,NOK,2
2020-12-19,NIO,87
2020-12-19,AMC,8
2020-12-19,GME,183
2020-12-19,BB,48
2020-12-20,GME,281
2020-12-20,AMC,24
2020-12-20,BB,34
2020-12-20,NOK,4
2020-12-20,NIO,103
2020-12-20,TSLA,533
2020-12-20,PLTR,573
2020-12-21,NOK,5
2020-12-21,PLTR,2261
2020-12-21,TSLA,1144
2020-12-21,NIO,502
2020-12-21,AMC,62
2020-12-21,GME,874
2020-12-21,BB,53
2020-12-22,TSLA,960
2020-12-22,GME,3221
2020-12-22,AMC,38
2020-12-22,BB,150
2020-12-22,NOK,5
2020-12-22,NIO,410
2020-12-22,PLTR,1743
2020-12-23,TSLA,564
2020-12-23,PLTR,1562
2020-12-23,NOK,8
2020-12-23,NIO,296
2020-12-23,BB,139
2020-12-23,AMC,18
2020-12-23,GME,3236
2020-12-24,GME,1183
2020-12-24,AMC,10
2020-12-24,BB,37
2020-12-24,NOK,6
2020-12-24,NIO,267
2020-12-24,TSLA,428
2020-12-24,PLTR,826
2020-12-25,PLTR,370
2020-12-25,TSLA,208
2020-12-25,NIO,134
2020-12-25,NOK,3
2020-12-25,BB,10
2020-12-25,AMC,12
2020-12-25,GME,574
2020-12-26,GME,609
2020-12-26,AMC,13
2020-12-26,BB,17
2020-12-26,NOK,4
2020-12-26,NIO,85
2020-12-26,TSLA,129
2020-12-26,PLTR,308
2020-12-27,PLTR,469
2020-12-27,TSLA,235
2020-12-27,NIO,140
2020-12-27,NOK,4
2020-12-27,AMC,27
2020-12-27,GME,854
2020-12-27,BB,31
2020-12-28,PLTR,1911
2020-12-28,GME,1966
2020-12-28,AMC,28
2020-12-28,BB,67
2020-12-28,NOK,12
2020-12-28,NIO,412
2020-12-28,TSLA,403
2020-12-29,PLTR,1625
2020-12-29,TSLA,273
2020-12-29,NIO,387
2020-12-29,BB,47
2020-12-29,AMC,46
2020-12-29,GME,1789
