pic_name,bool_value,bool_gme,bool_gamestop,bool_investing,value_screenshot
g32m3p85xve61,True,False,False,False,70320.0
muit6abfm0461,False,False,False,True,3036.0
stqvxw7t3j061,False,False,False,True,131818.0
5ytpsw1p42461,False,False,False,True,60936.0
fcb50v49zj861,True,False,False,False,720.0
flf3kincq6f61,False,False,True,False,135.0
dvp1vy6aq3f61,False,True,False,False,7563.0
wrpcanzsc4e61,False,True,True,False,111.0
xb9o44zaoxe61,True,False,False,False,150.0
pm2x93o0uwe61,True,True,False,False,963.0
rsbu52j8d0e61,True,False,False,False,146.0
m4m2hcvlsxe61,True,True,False,False,1302.0
kld0h9pe64e61,True,False,True,False,226.0
qevd9pt0p9f61,False,True,False,False,3000.0
o5vfcpmr4zd61,False,False,False,True,18201.0
xv7urjwcwsb61,True,True,False,False,46296.0
08usujy9oxe61,True,False,False,True,3061.0
hlgpnd2hrod61,True,False,False,False,92790.0
se82i5cv1we61,True,False,False,False,440.0
blvscg3adxe61,False,True,True,False,229.0
6v3ipbltwty51,False,False,False,True,27071.0
2hr44zei2we61,False,True,False,False,235.0
grkbvsds2uc61,True,False,False,False,4139.0
c3ugyhkyjif61,False,False,True,False,294.0
irnauqhy15861,True,False,False,False,4200.0
riwe0mh17cc61,True,False,False,False,35250.0
b10yv2bn8if61,True,True,False,False,298.0
ja030epeeqx51,True,False,False,False,400111.0
73bg5hz575e61,True,False,False,False,92389.0
uichvp8iuaf61,False,True,True,False,123.0
ub3r1v79n7c61,False,True,False,False,819.0
hfqyqnjxa3e61,False,True,True,False,420.0
egfxnwnwlbb61,True,False,False,False,12600.0
95ijBCk,False,True,False,False,292.0
mtdl6s8tb3f61,False,False,False,True,265.0
vx8aklinu3e61,False,False,False,True,6681.0
2smu0gyhywe61,False,True,False,False,234.0
hee71qr4zkc61,False,False,False,True,316.0
d6dlhjxsf5e61,True,True,True,False,13259.0
jb1k6lv483e61,False,False,True,False,420.0
hh0fnzpkk7e61,False,False,True,False,311.0
etuspps3or661,False,False,False,True,515.0
