Source,Target,weight
BB,SNDL,51
AMC,AMG,53
BBBY,NOK,53
BB,BBBY,54
AMC,PLTR,56
BB,GNUS,58
GME,GNUS,59
GNUS,NOK,59
GME,NIO,62
NOK,PLTR,62
AMC,GNUS,63
NIO,PLTR,65
AAPL,TSLA,65
AMC,NIO,70
CIA,GME,71
CRSR,PLTR,72
GME,SNDL,73
NOK,SNDL,77
NIO,TSLA,80
KOSS,NOK,81
BB,KOSS,81
PLTR,TSLA,81
GME,WLL,86
AMC,BBBY,86
AMC,SNDL,89
AMC,TSLA,98
GME,KOSS,99
AAPL,AMC,100
AMC,KOSS,100
BBBY,GME,121
BB,PLTR,132
AAPL,GME,134
BB,NAKD,141
GME,TSLA,148
NAKD,NOK,157
GME,PLTR,183
GME,TFSA,191
GME,NAKD,194
AMC,NAKD,226
BB,NOK,457
GME,NOK,484
AMC,BB,648
AMC,NOK,698
BB,GME,719
AMC,GME,1773
