symbol,count
mtch,7
duk,1
fgen,0
gipr,0
arow,0
wei,1
seel,0
dole,0
avctw,0
skyau,0
smti,0
jhx,0
incy,1
cenx,0
tblt,4
husn,0
pgrw,0
apph,3
msft,62
jpi,0
agfy,0
pbfs,0
avgo,0
cpop,0
gam^b,0
mmsi,0
erc,0
hbt,0
smpl,0
kaiiu,0
dct,0
urbn,0
ctkb,0
lylt,0
altuu,0
clrm,0
cif,0
jyac,0
kof,0
tptx,0
ghm,0
vtnr,0
asml,1
akr,0
tvacw,0
wpc,0
sfbs,0
bmaqr,0
wter,0
dlng,0
wfcf,0
acgln,0
cir,0
gdv^g,0
tsibw,0
osh,0
lmaow,0
hcxy,0
nfbk,0
brliu,0
frpt,0
eltk,0
esp,0
isr,3
crnx,0
site,38
etj,0
swi,3
gabc,0
irbt,2
hpltu,0
xfor,1
frsgu,0
hofv,1
kio,2
eqh,0
ndaq,1
glpg,0
tcom,0
gpi,0
taro,0
rrr,10
vtr,0
kavl,0
stok,3
sif,1
leo,4
amed,0
dsu,0
grtx,0
smed,0
spsc,0
fbms,0
ocx,0
vyne,1
giix,0
pmgmu,0
meka,0
rdnt,0
eqnr,1
arav,0
mtryu,0
glhau,0
snrh,0
dawn,7
ccnep,0
tdw,0
fsbc,0
esscr,0
fronu,0
nea,23
crus,2
ger,4
mcmj,0
puck,0
enlv,0
aaciu,0
epc,0
gbrgw,0
isun,2
vrns,0
dtocw,0
jbt,0
lvoxw,0
boom,4
xrx,0
macu,0
dnp,0
dfs,0
cmre,0
rsg,0
casa,0
bpypp,0
vwe,0
kern,2
vygr,0
myrg,0
mitt,10
vtiq,0
brog,0
ccj,1
curo,0
ebf,0
trtl,0
gpja,0
zws,0
gsevw,0
mnst,0
bmy,3
gbdc,0
ajx,0
ccl,34
naov,1
hrtx,0
uzd,0
bac^n,0
pfx,0
oprx,0
zyme,0
stt,0
sncrl,0
cai,5
mac,27
gfor,0
clw,0
akya,0
chh,0
ipg,0
rcc,0
htgc,0
pulm,0
xpdiu,0
hcdiw,0
dht,0
bgx,0
smihw,0
flgt,3
slrx,0
znh,0
higa,0
aout,1
pdm,0
lsea,0
rpt,3
uaa,0
ctmx,1
pxs,0
arkr,0
shg,1
tfc,0
cfivw,0
bsvn,0
dune,0
pfin,0
tblaw,0
exls,0
slvru,0
ctre,0
duo,0
laix,0
dlpn,2
ggpiu,0
nvgs,0
feng,0
boh,0
gms,2
spaq,0
ibp,0
ebr,1
hgbl,0
mmi,1
amn,1
inn^e,0
relx,0
gsit,0
snaxw,0
afin,2
augx,0
rbac,0
kbr,0
imkta,0
fnb^e,0
flws,0
eme,8
indt,0
exk,4
dcph,0
caap,0
phun,2
main,37
rvt,0
clpt,1
insp,0
lnc,0
aroc,0
boas,1
esscu,0
nlit,0
mhk,0
vec,0
rgco,0
pmd,0
jdd,0
kairu,0
sky,3
pac,0
kros,0
iga,0
aee,5
ncsm,0
dei,2
aneb,0
hmpt,0
pfsi,0
bgr,0
stz/b,0
rol,6
mtor,0
omab,0
glog^a,0
pshg,0
krkr,0
gpco,0
frc^i,0
mfm,0
lxu,0
msn,2
atnfw,0
met,8
mvstw,0
seed,8
