occurrences,volume,close,tweets,date,hour
137,9690256.0,4.1821,51,2020-12-01,9
264,12368668.0,4.0875,56,2020-12-01,10
152,5595592.0,4.1008,46,2020-12-01,11
109,4029040.0,4.095,76,2020-12-01,12
91,3182244.0,4.0239,107,2020-12-01,14
95,2948924.0,3.9975,169,2020-12-01,15
101,7657728.0,3.9525,155,2020-12-01,16
115,8685164.0,4.065,177,2020-12-02,9
78,5738460.0,4.0125,162,2020-12-02,10
67,2407060.0,4.0282,186,2020-12-02,11
62,2256308.0,3.98,177,2020-12-02,12
58,2807752.0,4.0019,237,2020-12-02,14
75,2957332.0,4.0863,231,2020-12-02,15
136,5571976.0,4.1475,275,2020-12-02,16
59,3457124.0,4.0725,210,2020-12-03,9
66,3339680.0,4.05,209,2020-12-03,10
75,3228308.0,4.032,181,2020-12-03,11
56,2655252.0,3.9825,242,2020-12-03,12
77,2593796.0,3.9993,284,2020-12-03,14
40,1922268.0,3.9963,309,2020-12-03,15
50,7555632.0,4.03,258,2020-12-03,16
145,7612860.0,4.2275,60,2020-12-04,9
93,6738064.0,4.205,53,2020-12-04,10
81,5016392.0,4.2925,59,2020-12-04,11
77,3953996.0,4.295,71,2020-12-04,12
82,3219112.0,4.2538,69,2020-12-04,14
62,2642188.0,4.1975,112,2020-12-04,15
70,4809864.0,4.2275,151,2020-12-04,16
68,5271640.0,4.1825,48,2020-12-07,9
91,6269004.0,4.075,31,2020-12-07,10
76,4990316.0,4.165,71,2020-12-07,11
60,1950720.0,4.16,61,2020-12-07,12
53,2333636.0,4.1043,82,2020-12-07,14
58,1789124.0,4.12,146,2020-12-07,15
77,5856728.0,4.08,142,2020-12-07,16
52,4771108.0,4.02,37,2020-12-08,9
79,4059500.0,4.095,31,2020-12-08,10
56,2789796.0,4.055,39,2020-12-08,11
72,3003052.0,4.0575,56,2020-12-08,12
98,2509520.0,4.1013,98,2020-12-08,14
164,5974392.0,4.03,123,2020-12-08,15
376,14105252.0,4.23,253,2020-12-08,16
235,38678740.0,3.5313,57,2020-12-09,9
115,17447580.0,3.515,47,2020-12-09,10
79,10204244.0,3.5675,67,2020-12-09,11
67,6389948.0,3.5425,114,2020-12-09,12
96,6476012.0,3.4188,194,2020-12-09,14
